estrategia,fecha_prueba,n_fechas_entrenamiento,modelo,n_prueba,positivos_prueba,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
leave_one_date_out,2026-06-19,19,random_forest,5477,3081,0.45262,1.0,0.026939,0.052465,0.033449,0.701968,0.753692,2396,0,2998,83
leave_one_date_out,2026-07-22,19,random_forest,43899,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,43899,0,0,0
leave_one_date_out,2025-01-18,19,gradient_boosting,8994,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,8994,0,0,0
leave_one_date_out,2025-01-28,19,gradient_boosting,5616,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5616,0,0,0
leave_one_date_out,2025-04-13,19,gradient_boosting,48683,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48683,0,0,0
leave_one_date_out,2025-04-15,19,gradient_boosting,5569,23,0.968217,0.01875,0.130435,0.032787,0.059524,0.915662,0.155228,5389,157,20,3
leave_one_date_out,2025-04-28,19,gradient_boosting,5594,390,0.678048,0.168,0.915385,0.283897,0.484396,0.869023,0.354786,3436,1768,33,357
leave_one_date_out,2025-05-13,19,gradient_boosting,47075,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,47075,0,0,0
leave_one_date_out,2025-07-17,19,gradient_boosting,41498,2,0.999952,0.0,0.0,0.0,0.0,0.993795,0.047427,41496,0,2,0
leave_one_date_out,2025-11-21,19,gradient_boosting,24076,3,0.999917,0.666667,0.666667,0.666667,0.666667,0.999958,0.755556,24072,1,1,2
leave_one_date_out,2025-11-24,19,gradient_boosting,5588,87,0.99481,0.953125,0.701149,0.807947,0.740291,0.993266,0.858844,5498,3,26,61
leave_one_date_out,2025-12-29,19,gradient_boosting,35038,2,0.999943,0.5,0.5,0.5,0.5,0.999943,0.45,35035,1,1,1
leave_one_date_out,2026-01-08,19,gradient_boosting,5605,347,0.963604,0.955414,0.432277,0.595238,0.485437,0.992183,0.901327,5251,7,197,150
leave_one_date_out,2026-02-02,19,gradient_boosting,5453,0,0.998716,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5446,7,0,0
leave_one_date_out,2026-02-07,19,gradient_boosting,5333,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5333,0,0,0
leave_one_date_out,2026-02-12,19,gradient_boosting,37280,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,37280,0,0,0
leave_one_date_out,2026-03-24,19,gradient_boosting,48565,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48565,0,0,0
leave_one_date_out,2026-03-29,19,gradient_boosting,5614,420,0.874243,0.259259,0.366667,0.303748,0.33861,0.79065,0.308277,4754,440,266,154
leave_one_date_out,2026-04-13,19,gradient_boosting,53984,222,0.995962,0.75,0.027027,0.052174,0.033482,0.957012,0.110251,53760,2,216,6
leave_one_date_out,2026-04-28,19,gradient_boosting,53722,1788,0.979599,1.0,0.387025,0.558065,0.441101,0.987766,0.837413,51934,0,1096,692
leave_one_date_out,2026-06-19,19,gradient_boosting,5477,3081,0.454446,1.0,0.030185,0.058601,0.037449,0.594168,0.684111,2396,0,2988,93
leave_one_date_out,2026-07-22,19,gradient_boosting,43899,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,43899,0,0,0
